State/Country,Year,Category of occupation,Code Version, Employed Person ('000) 
Pahang,2003,Elementary occupations  ,MASCO 1998,50.8
Pulau Pinang,2003,Elementary occupations  ,MASCO 1998,75.5
Perak,2003,Elementary occupations  ,MASCO 1998,85.9
Perlis,2003,Elementary occupations  ,MASCO 1998,11.2
Selangor,2003,Elementary occupations  ,MASCO 1998,210.6
Terengganu,2003,Elementary occupations  ,MASCO 1998,39.5
Sabah,2003,Elementary occupations  ,MASCO 1998,147.5
Sarawak,2003,Elementary occupations  ,MASCO 1998,83.6
W.P. Kuala Lumpur,2003,Elementary occupations  ,MASCO 1998,78.3
W.P Labuan,2003,Elementary occupations  ,MASCO 1998,5.8
W.P.Putrajaya,2003,Elementary occupations  ,MASCO 1998,
Malaysia,2002,Total,MASCO 1998,"9,542.6"
Johor,2002,Total,MASCO 1998,"1,222.3"
Kedah,2002,Total,MASCO 1998,645.1
Kelantan,2002,Total,MASCO 1998,422.7
Melaka,2002,Total,MASCO 1998,229.3
Negeri Sembilan,2002,Total,MASCO 1998,324.8
Pahang,2002,Total,MASCO 1998,406.9
Pulau Pinang,2002,Total,MASCO 1998,643.1
Perak,2002,Total,MASCO 1998,788.3
Perlis,2002,Total,MASCO 1998,57.0
Selangor,2002,Total,MASCO 1998,"1,749.9"
Terengganu,2002,Total,MASCO 1998,279.6
Sabah,2002,Total,MASCO 1998,"1,028.8"
Sarawak,2002,Total,MASCO 1998,917.7
W.P. Kuala Lumpur,2002,Total,MASCO 1998,794.1
W.P Labuan,2002,Total,MASCO 1998,32.9
W.P.Putrajaya,2002,Total,MASCO 1998,
Malaysia,2002,"Legislators, senior officials and managers        ",MASCO 1998,786.3
Johor,2002,"Legislators, senior officials and managers        ",MASCO 1998,82.3
Kedah,2002,"Legislators, senior officials and managers        ",MASCO 1998,26.5
Kelantan,2002,"Legislators, senior officials and managers        ",MASCO 1998,40.2
Melaka,2002,"Legislators, senior officials and managers        ",MASCO 1998,40.2
Negeri Sembilan,2002,"Legislators, senior officials and managers        ",MASCO 1998,25.3
Pahang,2002,"Legislators, senior officials and managers        ",MASCO 1998,23.3
Pulau Pinang,2002,"Legislators, senior officials and managers        ",MASCO 1998,58.6
Perak,2002,"Legislators, senior officials and managers        ",MASCO 1998,58.5
Perlis,2002,"Legislators, senior officials and managers        ",MASCO 1998,3.2
Selangor,2002,"Legislators, senior officials and managers        ",MASCO 1998,209.2
Terengganu,2002,"Legislators, senior officials and managers        ",MASCO 1998,10.0
Sabah,2002,"Legislators, senior officials and managers        ",MASCO 1998,61.7
Sarawak,2002,"Legislators, senior officials and managers        ",MASCO 1998,46.6
W.P. Kuala Lumpur,2002,"Legislators, senior officials and managers        ",MASCO 1998,121.3
W.P Labuan,2002,"Legislators, senior officials and managers        ",MASCO 1998,3.2
W.P.Putrajaya,2002,"Legislators, senior officials and managers        ",MASCO 1998,
Malaysia,2002,Professionals,MASCO 1998,483.5
Johor,2002,Professionals,MASCO 1998,41.8
Kedah,2002,Professionals,MASCO 1998,22.9
Kelantan,2002,Professionals,MASCO 1998,20.7
Melaka,2002,Professionals,MASCO 1998,11.6
Negeri Sembilan,2002,Professionals,MASCO 1998,14.1
Pahang,2002,Professionals,MASCO 1998,13.0
Pulau Pinang,2002,Professionals,MASCO 1998,36.3
Perak,2002,Professionals,MASCO 1998,28.0
Perlis,2002,Professionals,MASCO 1998,2.6
Selangor,2002,Professionals,MASCO 1998,145.8
Terengganu,2002,Professionals,MASCO 1998,12.6
Sabah,2002,Professionals,MASCO 1998,37.7
Sarawak,2002,Professionals,MASCO 1998,30.2
W.P. Kuala Lumpur,2002,Professionals,MASCO 1998,65.1
W.P Labuan,2002,Professionals,MASCO 1998,1.2
W.P.Putrajaya,2002,Professionals,MASCO 1998,
Malaysia,2002,Technicians and associate professionals  ,MASCO 1998,"1,194.6"
Johor,2002,Technicians and associate professionals  ,MASCO 1998,162.6
Kedah,2002,Technicians and associate professionals  ,MASCO 1998,71.0
Kelantan,2002,Technicians and associate professionals  ,MASCO 1998,44.8
Melaka,2002,Technicians and associate professionals  ,MASCO 1998,39.1
Negeri Sembilan,2002,Technicians and associate professionals  ,MASCO 1998,41.2
Pahang,2002,Technicians and associate professionals  ,MASCO 1998,43.2
Pulau Pinang,2002,Technicians and associate professionals  ,MASCO 1998,99.2
Perak,2002,Technicians and associate professionals  ,MASCO 1998,94.2
Perlis,2002,Technicians and associate professionals  ,MASCO 1998,6.6
Selangor,2002,Technicians and associate professionals  ,MASCO 1998,265.5
Terengganu,2002,Technicians and associate professionals  ,MASCO 1998,30.5
Sabah,2002,Technicians and associate professionals  ,MASCO 1998,95.9
Sarawak,2002,Technicians and associate professionals  ,MASCO 1998,89.9
W.P. Kuala Lumpur,2002,Technicians and associate professionals  ,MASCO 1998,105.6
W.P Labuan,2002,Technicians and associate professionals  ,MASCO 1998,5.2
W.P.Putrajaya,2002,Technicians and associate professionals  ,MASCO 1998,
Malaysia,2002,Clerical workers  ,MASCO 1998,890.3
Johor,2002,Clerical workers  ,MASCO 1998,113.0
Kedah,2002,Clerical workers  ,MASCO 1998,39.5
Kelantan,2002,Clerical workers  ,MASCO 1998,19.2
Melaka,2002,Clerical workers  ,MASCO 1998,24.2
Negeri Sembilan,2002,Clerical workers  ,MASCO 1998,26.3
Pahang,2002,Clerical workers  ,MASCO 1998,27.8
Pulau Pinang,2002,Clerical workers  ,MASCO 1998,67.1
Perak,2002,Clerical workers  ,MASCO 1998,59.8
Perlis,2002,Clerical workers  ,MASCO 1998,3.4
Selangor,2002,Clerical workers  ,MASCO 1998,224.3
Terengganu,2002,Clerical workers  ,MASCO 1998,17.1
Sabah,2002,Clerical workers  ,MASCO 1998,75.7
Sarawak,2002,Clerical workers  ,MASCO 1998,69.6
W.P. Kuala Lumpur,2002,Clerical workers  ,MASCO 1998,119.2
W.P Labuan,2002,Clerical workers  ,MASCO 1998,4.2
W.P.Putrajaya,2002,Clerical workers  ,MASCO 1998,
Malaysia,2002,Service workers and shop and market sales workers,MASCO 1998,"1,307.7"
Johor,2002,Service workers and shop and market sales workers,MASCO 1998,173.9
Kedah,2002,Service workers and shop and market sales workers,MASCO 1998,98.9
Kelantan,2002,Service workers and shop and market sales workers,MASCO 1998,61.0
Melaka,2002,Service workers and shop and market sales workers,MASCO 1998,39.2
Negeri Sembilan,2002,Service workers and shop and market sales workers,MASCO 1998,45.9
Pahang,2002,Service workers and shop and market sales workers,MASCO 1998,56.2
Pulau Pinang,2002,Service workers and shop and market sales workers,MASCO 1998,79.6
Perak,2002,Service workers and shop and market sales workers,MASCO 1998,121.9
Perlis,2002,Service workers and shop and market sales workers,MASCO 1998,10.3
Selangor,2002,Service workers and shop and market sales workers,MASCO 1998,206.3
Terengganu,2002,Service workers and shop and market sales workers,MASCO 1998,53.6
Sabah,2002,Service workers and shop and market sales workers,MASCO 1998,118.6
Sarawak,2002,Service workers and shop and market sales workers,MASCO 1998,102.0
W.P. Kuala Lumpur,2002,Service workers and shop and market sales workers,MASCO 1998,135.6
W.P Labuan,2002,Service workers and shop and market sales workers,MASCO 1998,4.8
W.P.Putrajaya,2002,Service workers and shop and market sales workers,MASCO 1998,
Malaysia,2002,Skilled agricultural and fishery workers    ,MASCO 1998,"1,260.8"
Johor,2002,Skilled agricultural and fishery workers    ,MASCO 1998,116.8
Kedah,2002,Skilled agricultural and fishery workers    ,MASCO 1998,101.6
Kelantan,2002,Skilled agricultural and fishery workers    ,MASCO 1998,82.8
Melaka,2002,Skilled agricultural and fishery workers    ,MASCO 1998,12.3
Negeri Sembilan,2002,Skilled agricultural and fishery workers    ,MASCO 1998,50.6
Pahang,2002,Skilled agricultural and fishery workers    ,MASCO 1998,101.4
Pulau Pinang,2002,Skilled agricultural and fishery workers    ,MASCO 1998,13.5
Perak,2002,Skilled agricultural and fishery workers    ,MASCO 1998,101.5
Perlis,2002,Skilled agricultural and fishery workers    ,MASCO 1998,8.5
Selangor,2002,Skilled agricultural and fishery workers    ,MASCO 1998,41.4
Terengganu,2002,Skilled agricultural and fishery workers    ,MASCO 1998,42.0
Sabah,2002,Skilled agricultural and fishery workers    ,MASCO 1998,305.7
Sarawak,2002,Skilled agricultural and fishery workers    ,MASCO 1998,281.0
W.P. Kuala Lumpur,2002,Skilled agricultural and fishery workers    ,MASCO 1998,0.3
W.P Labuan,2002,Skilled agricultural and fishery workers    ,MASCO 1998,1.2
W.P.Putrajaya,2002,Skilled agricultural and fishery workers    ,MASCO 1998,
Malaysia,2002,Craft and related trade workers   ,MASCO 1998,"1,168.1"
Johor,2002,Craft and related trade workers   ,MASCO 1998,172.7
Kedah,2002,Craft and related trade workers   ,MASCO 1998,73.0
Kelantan,2002,Craft and related trade workers   ,MASCO 1998,67.2
Melaka,2002,Craft and related trade workers   ,MASCO 1998,28.3
Negeri Sembilan,2002,Craft and related trade workers   ,MASCO 1998,37.6
Pahang,2002,Craft and related trade workers   ,MASCO 1998,48.0
Pulau Pinang,2002,Craft and related trade workers   ,MASCO 1998,69.7
Perak,2002,Craft and related trade workers   ,MASCO 1998,106.0
Perlis,2002,Craft and related trade workers   ,MASCO 1998,6.5
Selangor,2002,Craft and related trade workers   ,MASCO 1998,172.9
Terengganu,2002,Craft and related trade workers   ,MASCO 1998,62.9
Sabah,2002,Craft and related trade workers   ,MASCO 1998,98.7
Sarawak,2002,Craft and related trade workers   ,MASCO 1998,124.2
W.P. Kuala Lumpur,2002,Craft and related trade workers   ,MASCO 1998,94.7
W.P Labuan,2002,Craft and related trade workers   ,MASCO 1998,5.7
W.P.Putrajaya,2002,Craft and related trade workers   ,MASCO 1998,
Malaysia,2002,Plant and machine-operators and assemblers,MASCO 1998,"1,373.0"
Johor,2002,Plant and machine-operators and assemblers,MASCO 1998,253.7
Kedah,2002,Plant and machine-operators and assemblers,MASCO 1998,126.6
Kelantan,2002,Plant and machine-operators and assemblers,MASCO 1998,35.2
Melaka,2002,Plant and machine-operators and assemblers,MASCO 1998,40.8
Negeri Sembilan,2002,Plant and machine-operators and assemblers,MASCO 1998,52.9
Pahang,2002,Plant and machine-operators and assemblers,MASCO 1998,46.2
Pulau Pinang,2002,Plant and machine-operators and assemblers,MASCO 1998,147.9
Perak,2002,Plant and machine-operators and assemblers,MASCO 1998,118.9
Perlis,2002,Plant and machine-operators and assemblers,MASCO 1998,6.2
Selangor,2002,Plant and machine-operators and assemblers,MASCO 1998,267.3
Terengganu,2002,Plant and machine-operators and assemblers,MASCO 1998,22.9
Sabah,2002,Plant and machine-operators and assemblers,MASCO 1998,107.0
Sarawak,2002,Plant and machine-operators and assemblers,MASCO 1998,87.8
W.P. Kuala Lumpur,2002,Plant and machine-operators and assemblers,MASCO 1998,57.6
W.P Labuan,2002,Plant and machine-operators and assemblers,MASCO 1998,2.0
W.P.Putrajaya,2002,Plant and machine-operators and assemblers,MASCO 1998,
Malaysia,2002,Elementary occupations  ,MASCO 1998,"1,078.2"
Johor,2002,Elementary occupations  ,MASCO 1998,105.4
Kedah,2002,Elementary occupations  ,MASCO 1998,85.1
Kelantan,2002,Elementary occupations  ,MASCO 1998,51.7
Melaka,2002,Elementary occupations  ,MASCO 1998,17.3
Negeri Sembilan,2002,Elementary occupations  ,MASCO 1998,30.9
Pahang,2002,Elementary occupations  ,MASCO 1998,47.7
Pulau Pinang,2002,Elementary occupations  ,MASCO 1998,71.2
Perak,2002,Elementary occupations  ,MASCO 1998,99.5
Perlis,2002,Elementary occupations  ,MASCO 1998,9.6
Selangor,2002,Elementary occupations  ,MASCO 1998,217.2
Terengganu,2002,Elementary occupations  ,MASCO 1998,28.1
Sabah,2002,Elementary occupations  ,MASCO 1998,127.7
Sarawak,2002,Elementary occupations  ,MASCO 1998,86.5
W.P. Kuala Lumpur,2002,Elementary occupations  ,MASCO 1998,94.7
W.P Labuan,2002,Elementary occupations  ,MASCO 1998,5.5
W.P.Putrajaya,2002,Elementary occupations  ,MASCO 1998,
Malaysia,2001,Total,MASCO 1998,"9,357.0"
Johor,2001,Total,MASCO 1998,"1,235.9"
Kedah,2001,Total,MASCO 1998,701.1
Kelantan,2001,Total,MASCO 1998,434.3
Melaka,2001,Total,MASCO 1998,267.7
Negeri Sembilan,2001,Total,MASCO 1998,351.3
Pahang,2001,Total,MASCO 1998,437.8
Pulau Pinang,2001,Total,MASCO 1998,714.9
Perak,2001,Total,MASCO 1998,730.7
Perlis,2001,Total,MASCO 1998,82.9
Selangor,2001,Total,MASCO 1998,"1,514.7"
Terengganu,2001,Total,MASCO 1998,298.6
Sabah,2001,Total,MASCO 1998,979.1
Sarawak,2001,Total,MASCO 1998,877.4
W.P. Kuala Lumpur,2001,Total,MASCO 1998,703.7
W.P Labuan,2001,Total,MASCO 1998,27.2
W.P.Putrajaya,2001,Total,MASCO 1998,
Malaysia,2001,"Legislators, senior officials and managers        ",MASCO 1998,695.0
Johor,2001,"Legislators, senior officials and managers        ",MASCO 1998,81.8
Kedah,2001,"Legislators, senior officials and managers        ",MASCO 1998,20.5
Kelantan,2001,"Legislators, senior officials and managers        ",MASCO 1998,36.5
Melaka,2001,"Legislators, senior officials and managers        ",MASCO 1998,36.5
Negeri Sembilan,2001,"Legislators, senior officials and managers        ",MASCO 1998,25.9
Pahang,2001,"Legislators, senior officials and managers        ",MASCO 1998,30.2
Pulau Pinang,2001,"Legislators, senior officials and managers        ",MASCO 1998,63.0
Perak,2001,"Legislators, senior officials and managers        ",MASCO 1998,44.3
Perlis,2001,"Legislators, senior officials and managers        ",MASCO 1998,3.2
Selangor,2001,"Legislators, senior officials and managers        ",MASCO 1998,158.7
Terengganu,2001,"Legislators, senior officials and managers        ",MASCO 1998,16.6
Sabah,2001,"Legislators, senior officials and managers        ",MASCO 1998,57.9
Sarawak,2001,"Legislators, senior officials and managers        ",MASCO 1998,36.1
W.P. Kuala Lumpur,2001,"Legislators, senior officials and managers        ",MASCO 1998,96.6
W.P Labuan,2001,"Legislators, senior officials and managers        ",MASCO 1998,1.8
W.P.Putrajaya,2001,"Legislators, senior officials and managers        ",MASCO 1998,
Malaysia,2001,Professionals,MASCO 1998,457.2
Johor,2001,Professionals,MASCO 1998,40.7
Kedah,2001,Professionals,MASCO 1998,24.6
Kelantan,2001,Professionals,MASCO 1998,18.3
Melaka,2001,Professionals,MASCO 1998,10.5
Negeri Sembilan,2001,Professionals,MASCO 1998,17.2
Pahang,2001,Professionals,MASCO 1998,13.9
Pulau Pinang,2001,Professionals,MASCO 1998,37.3
Perak,2001,Professionals,MASCO 1998,22.3
Perlis,2001,Professionals,MASCO 1998,3.3
Selangor,2001,Professionals,MASCO 1998,127.1
Terengganu,2001,Professionals,MASCO 1998,14.0
Sabah,2001,Professionals,MASCO 1998,28.8
Sarawak,2001,Professionals,MASCO 1998,33.1
W.P. Kuala Lumpur,2001,Professionals,MASCO 1998,65.1
W.P Labuan,2001,Professionals,MASCO 1998,1.1
W.P.Putrajaya,2001,Professionals,MASCO 1998,
Malaysia,2001,Technicians and associate professionals  ,MASCO 1998,"1,126.1"
Johor,2001,Technicians and associate professionals  ,MASCO 1998,137.9
Kedah,2001,Technicians and associate professionals  ,MASCO 1998,78.9
Kelantan,2001,Technicians and associate professionals  ,MASCO 1998,43.9
Melaka,2001,Technicians and associate professionals  ,MASCO 1998,34.5
Negeri Sembilan,2001,Technicians and associate professionals  ,MASCO 1998,48.6
Pahang,2001,Technicians and associate professionals  ,MASCO 1998,47.4
Pulau Pinang,2001,Technicians and associate professionals  ,MASCO 1998,100.6
Perak,2001,Technicians and associate professionals  ,MASCO 1998,75.8
Perlis,2001,Technicians and associate professionals  ,MASCO 1998,8.9
Selangor,2001,Technicians and associate professionals  ,MASCO 1998,235.8
Terengganu,2001,Technicians and associate professionals  ,MASCO 1998,31.5
Sabah,2001,Technicians and associate professionals  ,MASCO 1998,93.5
Sarawak,2001,Technicians and associate professionals  ,MASCO 1998,87.0
W.P. Kuala Lumpur,2001,Technicians and associate professionals  ,MASCO 1998,98.6
W.P Labuan,2001,Technicians and associate professionals  ,MASCO 1998,3.2
W.P.Putrajaya,2001,Technicians and associate professionals  ,MASCO 1998,
Malaysia,2001,Clerical workers  ,MASCO 1998,890.6
Johor,2001,Clerical workers  ,MASCO 1998,102.4
Kedah,2001,Clerical workers  ,MASCO 1998,49.3
Kelantan,2001,Clerical workers  ,MASCO 1998,22.8
Melaka,2001,Clerical workers  ,MASCO 1998,28.8
Negeri Sembilan,2001,Clerical workers  ,MASCO 1998,30.6
Pahang,2001,Clerical workers  ,MASCO 1998,35.0
Pulau Pinang,2001,Clerical workers  ,MASCO 1998,71.7
Perak,2001,Clerical workers  ,MASCO 1998,54.8
Perlis,2001,Clerical workers  ,MASCO 1998,5.2
Selangor,2001,Clerical workers  ,MASCO 1998,217.1
Terengganu,2001,Clerical workers  ,MASCO 1998,19.0
Sabah,2001,Clerical workers  ,MASCO 1998,72.1
Sarawak,2001,Clerical workers  ,MASCO 1998,67.4
W.P. Kuala Lumpur,2001,Clerical workers  ,MASCO 1998,112.2
W.P Labuan,2001,Clerical workers  ,MASCO 1998,2.0
W.P.Putrajaya,2001,Clerical workers  ,MASCO 1998,
Malaysia,2001,Service workers and shop and market sales workers,MASCO 1998,"1,291.1"
Johor,2001,Service workers and shop and market sales workers,MASCO 1998,166.5
Kedah,2001,Service workers and shop and market sales workers,MASCO 1998,111.6
Kelantan,2001,Service workers and shop and market sales workers,MASCO 1998,57.8
Melaka,2001,Service workers and shop and market sales workers,MASCO 1998,56.9
Negeri Sembilan,2001,Service workers and shop and market sales workers,MASCO 1998,48.7
Pahang,2001,Service workers and shop and market sales workers,MASCO 1998,60.2
Pulau Pinang,2001,Service workers and shop and market sales workers,MASCO 1998,93.1
Perak,2001,Service workers and shop and market sales workers,MASCO 1998,116.8
Perlis,2001,Service workers and shop and market sales workers,MASCO 1998,15.2
Selangor,2001,Service workers and shop and market sales workers,MASCO 1998,181.7
Terengganu,2001,Service workers and shop and market sales workers,MASCO 1998,42.9
Sabah,2001,Service workers and shop and market sales workers,MASCO 1998,117.8
Sarawak,2001,Service workers and shop and market sales workers,MASCO 1998,100.8
W.P. Kuala Lumpur,2001,Service workers and shop and market sales workers,MASCO 1998,114.0
W.P Labuan,2001,Service workers and shop and market sales workers,MASCO 1998,7.2
W.P.Putrajaya,2001,Service workers and shop and market sales workers,MASCO 1998,
Malaysia,2001,Skilled agricultural and fishery workers    ,MASCO 1998,"1,265.3"
Johor,2001,Skilled agricultural and fishery workers    ,MASCO 1998,121.3
Kedah,2001,Skilled agricultural and fishery workers    ,MASCO 1998,113.1
Kelantan,2001,Skilled agricultural and fishery workers    ,MASCO 1998,97.0
Melaka,2001,Skilled agricultural and fishery workers    ,MASCO 1998,7.1
Negeri Sembilan,2001,Skilled agricultural and fishery workers    ,MASCO 1998,46.2
Pahang,2001,Skilled agricultural and fishery workers    ,MASCO 1998,96.9
Pulau Pinang,2001,Skilled agricultural and fishery workers    ,MASCO 1998,13.7
Perak,2001,Skilled agricultural and fishery workers    ,MASCO 1998,108.8
Perlis,2001,Skilled agricultural and fishery workers    ,MASCO 1998,15.9
Selangor,2001,Skilled agricultural and fishery workers    ,MASCO 1998,37.2
Terengganu,2001,Skilled agricultural and fishery workers    ,MASCO 1998,45.2
Sabah,2001,Skilled agricultural and fishery workers    ,MASCO 1998,291.7
Sarawak,2001,Skilled agricultural and fishery workers    ,MASCO 1998,270.6
W.P. Kuala Lumpur,2001,Skilled agricultural and fishery workers    ,MASCO 1998,
W.P Labuan,2001,Skilled agricultural and fishery workers    ,MASCO 1998,0.7
W.P.Putrajaya,2001,Skilled agricultural and fishery workers    ,MASCO 1998,
Malaysia,2001,Craft and related trade workers   ,MASCO 1998,"1,160.2"
Johor,2001,Craft and related trade workers   ,MASCO 1998,215.1
Kedah,2001,Craft and related trade workers   ,MASCO 1998,65.1
Kelantan,2001,Craft and related trade workers   ,MASCO 1998,72.9
Melaka,2001,Craft and related trade workers   ,MASCO 1998,37.1
Negeri Sembilan,2001,Craft and related trade workers   ,MASCO 1998,37.9
Pahang,2001,Craft and related trade workers   ,MASCO 1998,52.8
Pulau Pinang,2001,Craft and related trade workers   ,MASCO 1998,91.3
Perak,2001,Craft and related trade workers   ,MASCO 1998,110.0
Perlis,2001,Craft and related trade workers   ,MASCO 1998,9.0
Selangor,2001,Craft and related trade workers   ,MASCO 1998,132.8
Terengganu,2001,Craft and related trade workers   ,MASCO 1998,57.2
Sabah,2001,Craft and related trade workers   ,MASCO 1998,94.0
Sarawak,2001,Craft and related trade workers   ,MASCO 1998,109.7
W.P. Kuala Lumpur,2001,Craft and related trade workers   ,MASCO 1998,71.0
W.P Labuan,2001,Craft and related trade workers   ,MASCO 1998,4.2
W.P.Putrajaya,2001,Craft and related trade workers   ,MASCO 1998,
Malaysia,2001,Plant and machine-operators and assemblers,MASCO 1998,"1,476.6"
Johor,2001,Plant and machine-operators and assemblers,MASCO 1998,267.8
Kedah,2001,Plant and machine-operators and assemblers,MASCO 1998,162.3
Kelantan,2001,Plant and machine-operators and assemblers,MASCO 1998,39.7
Melaka,2001,Plant and machine-operators and assemblers,MASCO 1998,51.2
Negeri Sembilan,2001,Plant and machine-operators and assemblers,MASCO 1998,59.9
Pahang,2001,Plant and machine-operators and assemblers,MASCO 1998,48.6
Pulau Pinang,2001,Plant and machine-operators and assemblers,MASCO 1998,159.8
Perak,2001,Plant and machine-operators and assemblers,MASCO 1998,118.2
Perlis,2001,Plant and machine-operators and assemblers,MASCO 1998,11.2
Selangor,2001,Plant and machine-operators and assemblers,MASCO 1998,254.3
Terengganu,2001,Plant and machine-operators and assemblers,MASCO 1998,26.9
Sabah,2001,Plant and machine-operators and assemblers,MASCO 1998,113.0
Sarawak,2001,Plant and machine-operators and assemblers,MASCO 1998,97.5
W.P. Kuala Lumpur,2001,Plant and machine-operators and assemblers,MASCO 1998,63.2
W.P Labuan,2001,Plant and machine-operators and assemblers,MASCO 1998,2.9
W.P.Putrajaya,2001,Plant and machine-operators and assemblers,MASCO 1998,
Malaysia,2001,Elementary occupations  ,MASCO 1998,994.9
Johor,2001,Elementary occupations  ,MASCO 1998,102.4
Kedah,2001,Elementary occupations  ,MASCO 1998,75.8
Kelantan,2001,Elementary occupations  ,MASCO 1998,45.3
Melaka,2001,Elementary occupations  ,MASCO 1998,19.8
Negeri Sembilan,2001,Elementary occupations  ,MASCO 1998,36.3
Pahang,2001,Elementary occupations  ,MASCO 1998,52.8
Pulau Pinang,2001,Elementary occupations  ,MASCO 1998,84.3
Perak,2001,Elementary occupations  ,MASCO 1998,79.7
Perlis,2001,Elementary occupations  ,MASCO 1998,11.0
Selangor,2001,Elementary occupations  ,MASCO 1998,169.9
Terengganu,2001,Elementary occupations  ,MASCO 1998,45.3
Sabah,2001,Elementary occupations  ,MASCO 1998,110.2
Sarawak,2001,Elementary occupations  ,MASCO 1998,75.3
W.P. Kuala Lumpur,2001,Elementary occupations  ,MASCO 1998,83.0
W.P Labuan,2001,Elementary occupations  ,MASCO 1998,4.1
W.P.Putrajaya,2001,Elementary occupations  ,MASCO 1998,
Malaysia,2000,Total,DOC 1980,"9,269.2"
Johor,2000,Total,DOC 1980,"1,195.4"
Kedah,2000,Total,DOC 1980,626.5
Kelantan,2000,Total,DOC 1980,425.7
Melaka,2000,Total,DOC 1980,253.5
Negeri Sembilan,2000,Total,DOC 1980,347.4
Pahang,2000,Total,DOC 1980,446.8
Pulau Pinang,2000,Total,DOC 1980,669.2
Perak,2000,Total,DOC 1980,744.1
Perlis,2000,Total,DOC 1980,74.8
Selangor,2000,Total,DOC 1980,"1,681.5"
Terengganu,2000,Total,DOC 1980,306.0
Sabah,2000,Total,DOC 1980,933.8
Sarawak,2000,Total,DOC 1980,876.3
W.P. Kuala Lumpur,2000,Total,DOC 1980,662.8
W.P Labuan,2000,Total,DOC 1980,25.4
W.P.Putrajaya,2000,Total,DOC 1980,
Malaysia,2000,"Professional, technical and related workers",DOC 1980,"1,020.4"
Johor,2000,"Professional, technical and related workers",DOC 1980,83.1
Kedah,2000,"Professional, technical and related workers",DOC 1980,66.0
Kelantan,2000,"Professional, technical and related workers",DOC 1980,46.6
Melaka,2000,"Professional, technical and related workers",DOC 1980,29.9
Negeri Sembilan,2000,"Professional, technical and related workers",DOC 1980,37.8
Pahang,2000,"Professional, technical and related workers",DOC 1980,41.7
Pulau Pinang,2000,"Professional, technical and related workers",DOC 1980,73.6
Perak,2000,"Professional, technical and related workers",DOC 1980,73.7
Perlis,2000,"Professional, technical and related workers",DOC 1980,8.2
Selangor,2000,"Professional, technical and related workers",DOC 1980,261.7
Terengganu,2000,"Professional, technical and related workers",DOC 1980,36.6
Sabah,2000,"Professional, technical and related workers",DOC 1980,91.0
Sarawak,2000,"Professional, technical and related workers",DOC 1980,73.7
W.P. Kuala Lumpur,2000,"Professional, technical and related workers",DOC 1980,94.2
W.P Labuan,2000,"Professional, technical and related workers",DOC 1980,2.6
W.P.Putrajaya,2000,"Professional, technical and related workers",DOC 1980,
Malaysia,2000,Administrative and managerial workers ,DOC 1980,391.9
Johor,2000,Administrative and managerial workers ,DOC 1980,37.0
Kedah,2000,Administrative and managerial workers ,DOC 1980,14.4
Kelantan,2000,Administrative and managerial workers ,DOC 1980,6.8
Melaka,2000,Administrative and managerial workers ,DOC 1980,7.4
Negeri Sembilan,2000,Administrative and managerial workers ,DOC 1980,12.6
Pahang,2000,Administrative and managerial workers ,DOC 1980,10.0
Pulau Pinang,2000,Administrative and managerial workers ,DOC 1980,33.1
Perak,2000,Administrative and managerial workers ,DOC 1980,14.7
Perlis,2000,Administrative and managerial workers ,DOC 1980,1.7
Selangor,2000,Administrative and managerial workers ,DOC 1980,130.9
Terengganu,2000,Administrative and managerial workers ,DOC 1980,6.7
Sabah,2000,Administrative and managerial workers ,DOC 1980,18.3
Sarawak,2000,Administrative and managerial workers ,DOC 1980,16.1
W.P. Kuala Lumpur,2000,Administrative and managerial workers ,DOC 1980,81.9
W.P Labuan,2000,Administrative and managerial workers ,DOC 1980,0.3
W.P.Putrajaya,2000,Administrative and managerial workers ,DOC 1980,
Malaysia,2000,Clerical and related workers,DOC 1980,"1,012.5"
Johor,2000,Clerical and related workers,DOC 1980,109.0
Kedah,2000,Clerical and related workers,DOC 1980,48.7
Kelantan,2000,Clerical and related workers,DOC 1980,25.7
Melaka,2000,Clerical and related workers,DOC 1980,29.0
Negeri Sembilan,2000,Clerical and related workers,DOC 1980,35.3
Pahang,2000,Clerical and related workers,DOC 1980,39.2
Pulau Pinang,2000,Clerical and related workers,DOC 1980,76.8
Perak,2000,Clerical and related workers,DOC 1980,59.4
Perlis,2000,Clerical and related workers,DOC 1980,7.6
Selangor,2000,Clerical and related workers,DOC 1980,260.4
Terengganu,2000,Clerical and related workers,DOC 1980,25.4
Sabah,2000,Clerical and related workers,DOC 1980,84.3
Sarawak,2000,Clerical and related workers,DOC 1980,80.6
W.P. Kuala Lumpur,2000,Clerical and related workers,DOC 1980,128.1
W.P Labuan,2000,Clerical and related workers,DOC 1980,3.0
W.P.Putrajaya,2000,Clerical and related workers,DOC 1980,
Malaysia,2000,Sales workers,DOC 1980,"1,044.8"
Johor,2000,Sales workers,DOC 1980,129.6
Kedah,2000,Sales workers,DOC 1980,77.7
Kelantan,2000,Sales workers,DOC 1980,70.3
Melaka,2000,Sales workers,DOC 1980,30.8
Negeri Sembilan,2000,Sales workers,DOC 1980,32.5
Pahang,2000,Sales workers,DOC 1980,40.9
Pulau Pinang,2000,Sales workers,DOC 1980,83.9
Perak,2000,Sales workers,DOC 1980,99.5
Perlis,2000,Sales workers,DOC 1980,9.2
Selangor,2000,Sales workers,DOC 1980,178.1
Terengganu,2000,Sales workers,DOC 1980,33.6
